,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
attack austria,0.40178766311618047,0.5870496397870562,0.40178766311618047,0.5870496397870562,0.11611652351681541,0.40178766311618047
attack austria massive,,,,,,
attack austria wien,,,,,,
attack austriaâš,,,,,,
attack austriaâš massive,,,,,,
attack europe,,,,,,
attack gunman,0.704,0.704,0.704,0.0,0.704,0.704
attack vienna,0.5501142545045465,0.5501142545045465,0.5501142545045465,0.3530568618495133,0.07048399691021993,0.5501142545045465
attack vienna austria,0.704,0.704,0.704,0.0,0.704,0.704
attack wien,,,,,,
attend af1,,,,,,
attend af1 come,,,,,,
attorney general,,,,,,
auntie queefa,,,,,,
auschwitz true,0.704,0.704,0.704,0.0,0.704,0.704
auschwitz true story,0.704,0.704,0.704,0.0,0.704,0.704
australia love,,,,,,
australia love trump,,,,,,
australia trump,,,,,,
austria killed,,,,,,
austria killed 15,,,,,,
austria massive,,,,,,
austria massive terror,,,,,,
austria religion,0.704,0.704,0.704,0.0,0.704,0.704
austria religion piece,0.704,0.704,0.704,0.0,0.704,0.704
austria terrorist,,,,,,
austria terrorist roam,,,,,,
austria vienna,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
austria vienna gunmen,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.1778078083562211,0.5414697392755848,0.5414697392755848
austria war,0.704,0.704,0.704,0.704,0.0,0.704
austria wien,,,,,,
austriaâš massive,,,,,,
austriaâš massive terror,,,,,,
authority uncover,0.704,0.0,0.704,0.704,0.704,0.704
authority uncover fraud,0.704,0.0,0.704,0.704,0.704,0.704
away biden,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059,0.373900966300059
awesome awesome,,,,,,
